Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
240,1,0,0,0
245,1,0,0,0
250,1,0,0,0
255,1,0,0,0
260,1,0,0,0
265,1,0,0,0
270,1,0,0,0
275,1,0,0,0
280,0,0,0,0
285,1,0,0,0
290,1,0,0,0
295,1,0,0,0
300,1,0,0,0
305,1,0,0,0
310,1,0,0,0
315,1,0,0,0
320,1,0,0,0
325,1,0,0,0
405,1,0,0,0
410,1,0,0,0
415,1,0,0,0
420,1,0,0,0
425,0,0,0,0
430,1,0,0,0
435,1,0,0,0
440,1,0,0,0
445,1,0,0,0
575,1,0,0,0
580,1,0,0,0
585,1,0,0,0
590,1,0,0,0
595,1,0,0,0
600,1,0,0,0
605,1,0,0,0
610,1,0,0,0
615,1,0,0,0
620,1,0,0,0
625,1,0,0,0
630,1,0,0,0
635,1,0,0,0
640,1,0,0,0
645,1,0,0,0
650,1,0,0,0
655,1,0,0,0
660,1,0,0,0
665,1,0,0,0
670,1,0,0,0
675,1,0,0,0
680,1,0,0,0
685,1,0,0,0
690,1,0,0,0
695,1,0,0,0
700,1,0,0,0
705,1,0,0,0
710,1,0,0,0
715,1,0,0,0
720,1,0,0,0
725,1,0,0,0
730,1,0,0,0
735,1,0,0,0
830,1,0,0,0
835,1,0,0,0
840,1,0,0,0
845,1,0,0,0
850,1,0,0,0
855,1,0,0,0
860,1,0,0,0
865,1,0,0,0
870,1,0,0,0
875,1,0,0,0
880,1,0,0,0
885,1,0,0,0
890,1,0,0,0
895,1,0,0,0
900,1,0,0,0
905,1,0,0,0
910,1,0,0,0
915,1,0,0,0
920,1,0,0,0
925,1,0,0,0
930,1,0,0,0
935,1,0,0,0
1015,1,0,0,0
1020,1,0,0,0
1025,1,0,0,0
1030,1,0,0,0
1035,1,0,0,0
1040,1,0,0,0
1045,1,0,0,0
1050,1,0,0,0
1055,1,0,0,0
1060,1,0,0,0
1065,1,0,0,0
1070,1,0,0,0
1075,1,0,0,0
1185,1,0,0,0
1190,1,0,0,0
1195,1,0,0,0
1200,1,0,0,0
1205,1,0,0,0
1210,1,0,0,0
1215,1,0,0,0
1220,1,0,0,0
1225,1,0,0,0
1230,1,0,0,0
1235,1,0,0,0
1240,1,0,0,0
1245,1,0,0,0
1250,1,0,0,0
1255,1,0,0,0
1260,1,0,0,0
1265,1,0,0,0
1270,1,0,0,0
1275,1,0,0,0
1280,1,0,0,0
1285,1,0,0,0
1290,1,0,0,0
1295,1,0,0,0
1300,1,0,0,0
1305,1,0,0,0
1310,1,0,0,0
1315,1,0,0,0
1320,1,0,0,0
1325,1,0,0,0
1330,1,0,0,0
1335,1,0,0,0
1340,1,0,0,0
1345,1,0,0,0
1350,1,0,0,0
1355,1,0,0,0
1360,1,0,0,0
1365,1,0,0,0
1370,1,0,0,0
1375,1,0,0,0
1470,1,0,0,0
1475,1,0,0,0
1480,1,0,0,0
1485,1,0,0,0
1490,1,0,0,0
1495,1,0,0,0
1500,1,0,0,0
1505,1,0,0,0
1510,1,0,0,0
1515,1,0,0,0
1520,1,0,0,0
1525,1,0,0,0
1530,1,0,0,0
1535,1,0,0,0
1540,1,0,0,0
1545,1,0,0,0
1550,1,0,0,0
1555,1,0,0,0
1560,1,0,0,0
1565,1,0,0,0
1570,1,0,0,0
1575,1,0,0,0
1580,1,0,0,0
1585,1,0,0,0
1590,1,0,0,0
1595,1,0,0,0
1600,1,0,0,0
1605,1,0,0,0
1610,1,0,0,0
1615,1,0,0,0
1710,4,0,0,0
1715,4,0,0,0
1720,4,0,0,0
1725,4,0,0,0
1730,5,0,0,0
1735,8,0,0,0
1740,8,0,0,0
1745,7,0,0,0
1750,7,0,0,0
1755,9,0,0,0
1760,10,0,0,0
1765,10,0,0,0
1770,9,0,0,0
1775,9,0,0,0
